"idFluxoDifusivo";"idCampanha";"idSitio";"batimetria";"intervalo";"CH4";"CO2";"dataMedida";"horaMedida"
"228";"1406";"14087";"39";\N;"0.2962009907";"5.9646801949";"2006-03-28";"15:00:00"
"229";"1406";"14088";"55.5";\N;"2.8319900036";"4.8380599022";"2006-03-29";"12:40:00"
"230";"1406";"14089";"6.8000001907";\N;"7.6964201927";"44.207901001";"2006-03-29";"11:15:00"
"231";"1409";"14090";"1.5";\N;"0.0054420899";"7.4185099602";"2006-08-10";"16:55:00"
"232";"1409";"14091";"50.599998474";\N;"-0.326977998";"8.8366804123";"2006-08-10";"08:44:00"
"233";"1409";"14092";"62.200000763";\N;"0.6251810193";"6.3826198578";"2006-08-11";"07:50:00"
"234";"1409";"14100";"55.5";\N;"0.4950549901";"7.425429821";"2006-08-11";"08:15:00"
"235";"1409";"14101";"55.799999237";\N;"2.3221199512";"8.3361701965";"2006-08-11";"08:40:00"
"236";"1409";"14102";"43.400001526";\N;"8.0060300827";"10.858499527";"2006-08-11";"09:30:00"
"237";"1409";"14093";"40.5";\N;"0.0425257012";"5.099219799";"2006-08-10";"08:16:00"
"238";"1409";"14103";"43";\N;"4.7432999611";"9.7656803131";"2006-08-09";"15:41:00"
"239";"1409";"14104";"53";\N;"1.0718599558";"5.5489602089";"2006-08-09";"15:17:00"
"240";"1409";"14105";"55";\N;"1.7282899618";"8.3026695251";"2006-08-09";"14:47:00"
"241";"1409";"14106";"48.799999237";\N;"3.0024600029";"10.514699936";"2006-08-09";"14:15:00"
"242";"1409";"14107";"25";\N;"0.1993229985";"7.9029297829";"2006-08-09";"13:35:00"
"243";"1409";"14094";"3.0999999046";\N;"0.0552905016";"26.375299454";"2006-08-10";"10:35:00"
"244";"1403";"14095";"4";\N;"0.3734050095";"7.8833699226";"2005-11-15";"15:00:00"
"245";"1403";"14096";"51";\N;"1.2613699436";"2.9690299034";"2005-11-15";"09:25:00"
"246";"1403";"14097";"38";\N;"0.2590020001";"6.2296700478";"2005-11-14";"08:20:00"
"247";"1403";"14098";"57";\N;"5.445330143";"7.7914500237";"2005-11-14";"13:00:00"
"248";"1403";"14099";"5.5";\N;"0.1419470012";"16.356100082";"2005-11-14";"10:35:00"
"249";"1506";"15181";"93";\N;"5.6689600945";"3.750180006";"2006-04-06";"10:00:00"
"250";"1506";"15215";"100";\N;"7.3611998558";"5.4867200851";"2006-04-06";"10:37:00"
